iata,icao,faa,latitude,longitude,,
LEE,KLEE,,28.8231,-81.8087,,
LNA,KLNA,,26.593,-80.0851,,
MCF,KMCF,,27.8493,-82.5212,,
MCO,KMCO,,28.4294,-81.309,,
MIA,KMIA,,25.7932,-80.2906,,
MLB,KMLB,,28.1028,-80.6453,,
MPB,,,25.7783,-80.1703,,
MRK,KMKY,,25.995,-81.6725,,
MTH,KMTH,,24.7261,-81.0514,,
NEN,KNEN,,30.3539,-81.8719,,
NIP,KNIP,,30.2358,-81.6806,,
NPA,KNPA,,30.3527,-87.3186,,
NQX,KNQX,,24.5758,-81.6889,,
NRB,KNRB,,30.3911,-81.4247,,
NSE,KNSE,,30.7242,-87.0219,,
NUN,KNUN,,30.4694,-87.3381,,
OBE,KOBE,,27.2628,-80.8498,,
OCA,,,25.3254,-80.2748,,
OCF,KOCF,,29.1726,-82.2242,,
OPF,KOPF,,25.907,-80.2784,,
ORL,KORL,,28.5455,-81.3329,,
PAM,KPAM,,30.0696,-85.5754,,
PBI,KPBI,,26.6832,-80.0956,,
PGD,KPGD,,26.9202,-81.9905,,
PHK,KPHK,,26.785,-80.6934,,
PIE,KPIE,,27.9102,-82.6874,,
PNS,KPNS,,30.4734,-87.1866,,
PPM,KPMP,,26.2471,-80.1111,,
RSW,KRSW,,26.5362,-81.7552,,
SEF,KSEF,,27.4564,-81.3424,,
SFB,KSFB,,28.7776,-81.2375,,
SPG,KSPG,,27.7651,-82.627,,
SRQ,KSRQ,,27.3954,-82.5544,,
SUA,KSUA,,27.1817,-80.2211,,
TIX,KTIX,,28.5148,-80.7992,,
TLH,KTLH,,30.3965,-84.3503,,
TMB,KTMB,,25.6479,-80.4328,,
TNT,KTNT,,25.8618,-80.897,,
TPA,KTPA,,27.9755,-82.5332,,
TPF,KTPF,,27.9156,-82.4493,,
UST,KSGJ,,29.9592,-81.3398,,
VNC,KVNC,,27.0716,-82.4403,,
VPS,KVPS,,30.4832,-86.5254,,
VQQ,KVQQ,,30.2187,-81.8767,,
VRB,KVRB,,27.6556,-80.4179,,
ZPH,KZPH,,28.2282,-82.1559,,
ABY,KABY,,31.5355,-84.1945,,
AGS,KAGS,,33.3699,-81.9645,,
AHN,KAHN,,33.9486,-83.3263,,
ATL,KATL,,33.6367,-84.4281,,
AYS,KAYS,,31.2491,-82.3955,,
BGE,KBGE,,30.9715,-84.6374,,
BQK,KBQK,,31.2588,-81.4665,,
CSG,KCSG,,32.5163,-84.9389,,
DBN,KDBN,,32.5644,-82.9853,,
DNL,KDNL,,33.4665,-82.0394,,
DNN,KDNN,,34.7229,-84.8702,,
FTY,KFTY,,33.7791,-84.5214,,
GVL,KGVL,,34.2726,-83.8302,,
LGC,KLGC,,33.0089,-85.0726,,
LIY,KLHW,,31.8891,-81.5623,,
LSF,KLSF,,32.3373,-84.9913,,
LZU,KLZU,,33.9781,-83.9624,,
MAC,KMAC,,32.8221,-83.562,,
MCN,KMCN,,32.6928,-83.6492,,
MGE,KMGE,,33.9154,-84.5163,,
MGR,KMGR,,31.0849,-83.8033,,
MLJ,KMLJ,,33.1542,-83.2407,,
MQW,KMQW,,32.0946,-82.8822,,
MUL,KMUL,,31.1378,-83.7042,,
PDK,KPDK,,33.8756,-84.302,,
PIM,KPIM,,32.8407,-84.8824,,
RMG,KRMG,,34.3506,-85.158,,
SAV,KSAV,,32.1276,-81.2021,,
SSI,KSSI,,31.1518,-81.3913,,
SVN,KSVN,,32.01,-81.1457,,
SYV,KSYV,,31.5585,-83.8957,,
TBR,KTBR,,32.4827,-81.7369,,
TMA,KTMA,,31.429,-83.4885,,
TOC,KTOC,,34.5938,-83.2958,,
TVI,KTVI,,30.9016,-83.8813,,
VAD,KVAD,,30.9678,-83.193,,
VDI,KVDI,,32.1927,-82.3712,,
VLD,KVLD,,30.7825,-83.2767,,
WDR,KWDR,,33.9829,-83.6674,,
WRB,KWRB,,32.6401,-83.5919,,
BKH,PHBK,,22.0228,-159.785,,
BSF,PHSF,,19.7601,-155.554,,
FTI,NSFQ,,-14.2172,-169.425,,
HDH,PHDH,,21.5795,-158.197,,
HHI,PHHI,,21.4835,-158.04,,
HNL,PHNL,,21.3206,-157.924,,
HNM,PHHN,,20.7956,-156.014,,
HPV,,,22.2092,-159.446,,
ITO,PHTO,,19.7214,-155.048,,
JHM,PHJH,,20.9629,-156.673,,
JRF,PHJR,,21.3074,-158.07,,
KOA,PHKO,,19.7388,-156.046,,
LIH,PHLI,,21.976,-159.339,,
LNY,PHNY,,20.7856,-156.951,,
LUP,PHLU,,21.211,-156.974,,
MDY,PMDY,,28.2017,-177.381,,
MKK,PHMK,,21.1529,-157.096,,
MUE,PHMU,,20.0013,-155.668,,
NGF,PHNG,,21.4505,-157.768,,
OGG,PHOG,,20.8986,-156.43,,
PAK,PHPA,,21.8969,-159.603,,
UPP,PHUP,,20.2653,-155.86,,
WKL,,,19.9205,-155.861,,
BOI,KBOI,,43.5644,-116.223,,
BYI,KBYI,,42.5426,-113.772,,
CHL,KLLJ,,44.523,-114.218,,
COE,KCOE,,47.7743,-116.82,,
DBS,,,44.1666,-112.226,,
GNG,KGNG,,42.9172,-114.765,,
ICS,,,44.4938,-116.016,,
IDA,KIDA,,43.5136,-112.071,,
IDH,KGIC,,45.9426,-116.123,,
LWS,KLWS,,46.3745,-117.015,,
MLD,KMLD,,42.1666,-112.297,,
MUO,KMUO,,43.0436,-115.872,,
MYL,KMYL,,44.8897,-116.101,,
PIH,KPIH,,42.9098,-112.596,,
RXE,KRXE,,43.8339,-111.805,,
SMN,KSMN,,45.1238,-113.881,,
SUN,KSUN,,43.5044,-114.296,,
TWF,KTWF,,42.4818,-114.488,,
ALN,KALN,,38.8903,-90.046,,
AUZ,KARR,,41.7719,-88.4757,,
BDF,,,41.2309,-89.6157,,
BLV,KBLV,,38.5452,-89.8352,,
BMI,KBMI,,40.4771,-88.9159,,
CIR,KCIR,,37.0645,-89.2196,,
CMI,KCMI,,40.0392,-88.2781,,
CPS,KCPS,,38.5707,-90.1562,,
DEC,KDEC,,39.8346,-88.8657,,
DNV,KDNV,,40.1992,-87.5959,,
DPA,KDPA,,41.9078,-88.2486,,
DVN,KDVN,,41.6103,-90.5883,,
ENL,KENL,,38.5151,-89.0911,,
EOK,KEOK,,40.4599,-91.4285,,
FEP,KFEP,,42.2462,-89.582,,
GBG,KGBG,,40.938,-90.4311,,
GRE,KGRE,,38.8362,-89.3784,,
HSB,KHSB,,37.8113,-88.5503,,
IJX,KIJX,,39.7707,-90.238,,
IKK,KIKK,,41.0714,-87.8463,,
JOT,KJOT,,41.5178,-88.1755,,
LOT,KLOT,,41.6073,-88.0962,,
LWV,KLWV,,38.7643,-87.6055,,
MDH,KMDH,,37.7781,-89.252,,
MDW,KMDW,,41.7861,-87.7525,,
MLI,KMLI,,41.4485,-90.5075,,
MQB,KMQB,,40.5201,-90.6524,,
MTO,KMTO,,39.4779,-88.2792,,
MVN,KMVN,,38.3219,-88.8535,,
MWA,KMWA,,37.755,-89.0111,,
OLY,KOLY,,38.7207,-88.1749,,
ORD,KORD,,41.9786,-87.9047,,
PIA,KPIA,,40.6642,-89.6933,,
RFD,KRFD,,42.1953,-89.0972,,
SAR,KSAR,,38.1489,-89.6987,,
SLO,KSLO,,38.6429,-88.9642,,
SPI,KSPI,,39.8441,-89.6779,,
SQI,KSQI,,41.7428,-89.6763,,
UGN,KUGN,,42.4222,-87.8679,,
UIN,KUIN,,39.9427,-91.1946,,
VLA,KVLA,,38.9915,-89.1662,,
VYS,KVYS,,41.3519,-89.1531,,
AID,KAID,,40.1086,-85.613,,
ANQ,KANQ,,41.6397,-85.0835,,
BFR,KBFR,,38.84,-86.4454,,
BMG,KBMG,,39.146,-86.6167,,
CEV,KCEV,,39.6985,-85.1297,,
CLU,KBAK,,39.2619,-85.8963,,
EKI,KEKM,,41.7194,-86.0032,,
EVV,KEVV,,38.037,-87.5324,,
FRH,KFRH,,38.5062,-86.6369,,
FWA,KFWA,,40.9785,-85.1951,,
GBI,VOGB,,26.6319,-78.3592,,
GFD,KGFD,,39.7903,-85.7361,,
GSH,KGSH,,41.5264,-85.7929,,
GUS,KGUS,,40.6481,-86.1521,,
HLB,KHLB,,39.3445,-85.2583,,
HNB,KHNB,,38.249,-86.9537,,
IND,KIND,,39.7173,-86.2944,,
KKT,,,40.7587,-87.4282,,
LAF,KLAF,,40.4123,-86.9369,,
LPO,KPPO,,41.5725,-86.7345,,
MDN,KIMS,,38.7589,-85.4655,,
MGC,KMGC,,41.7033,-86.8212,,
MIE,KMIE,,40.2423,-85.3959,,
MZZ,KMZZ,,40.4899,-85.6797,,
OKK,KOKK,,40.5282,-86.059,,
OTN,,,38.8514,-87.4997,,
PLY,,,41.3651,-86.3005,,
RCR,KRCR,,41.0656,-86.1817,,
RID,KRID,,39.7572,-84.8428,,
RNZ,KRZL,,40.9479,-87.1826,,
SBN,KSBN,,41.7087,-86.3173,,
SER,KSER,,38.9236,-85.9074,,
SIV,KSIV,,39.1147,-87.4483,,
SMD,KSMD,,41.1434,-85.1528,,
VPZ,KVPZ,,41.454,-87.0071,,
AIO,KAIO,,41.4073,-95.0469,,
ALO,KALO,,42.5571,-92.4003,,
AMW,KAMW,,41.992,-93.6218,,
AXG,KAXA,,43.0779,-94.272,,
BNW,KBNW,,42.0496,-93.8476,,
BRL,KBRL,,40.7832,-91.1255,,
CBF,KCBF,,41.2592,-95.7606,,
CCY,KCCY,,43.0726,-92.6108,,
CID,KCID,,41.8847,-91.7108,,
CIN,KCIN,,42.0462,-94.789,,
CSQ,KCSQ,,41.0214,-94.3633,,
CWI,KCWI,,41.8311,-90.3291,,
DBQ,KDBQ,,42.402,-90.7095,,
DEH,KDEH,,43.2755,-91.7394,,
DNS,KDNS,,41.9864,-95.3807,,
DSM,KDSM,,41.534,-93.6631,,
EBS,KEBS,,42.4366,-93.8689,,
EFW,KEFW,,42.0102,-94.3426,,
EST,KEST,,43.4074,-94.7464,,
FFL,KFFL,,41.0533,-91.9789,,
FMS,KFSW,,40.6593,-91.3268,,
FOD,KFOD,,42.5515,-94.1926,,
FXY,KFXY,,43.2347,-93.6241,,
HPT,KHPT,,42.7237,-93.2263,,
HUD,,,42.7361,-94.2452,,
ICL,KICL,,40.7218,-95.0264,,
IDG,KIDG,,42.3325,-95.445,,
IFA,KIFA,,42.4708,-93.27,,
IOW,KIOW,,41.6392,-91.5465,,
LRJ,KLRJ,,42.778,-96.1937,,
MCW,KMCW,,43.1578,-93.3313,,
MIW,KMIW,,42.1128,-92.9178,,
MPZ,KMPZ,,40.9466,-91.5111,,
MUT,KMUT,,41.3678,-91.1482,,
MXO,KMXO,,42.2263,-91.1635,,
OMA,KOMA,,41.3032,-95.8941,,
OOA,KOOA,,41.0048,-93.3096,,
OTM,KOTM,,41.1066,-92.4479,,
POH,KPOH,,36.2456,-90.9553,,
PRO,KPRO,,41.828,-94.1599,,
RTL,,,43.3875,-95.1392,,
SLB,KSLB,,42.5973,-95.2407,,
SPW,KSPW,,43.1655,-95.2028,,
SUX,KSUX,,42.4026,-96.3844,,
TNU,KTNU,,41.6744,-93.0217,,
UKN,,,43.2805,-91.4695,,
ANY,KANY,,37.1585,-98.0796,,
BEC,KBEC,,37.6945,-97.215,,
CBK,KCBK,,39.4275,-101.047,,
CEA,KCEA,,37.6486,-97.2506,,
CFV,KCFV,,37.094,-95.5719,,
CNK,KCNK,,39.5493,-97.6523,,
CNU,KCNU,,37.6688,-95.4851,,
DDC,KDDC,,37.7634,-99.9656,,
EDK,KEQA,,37.7741,-96.8176,,
EMP,KEMP,,38.3321,-96.1912,,
EWK,KEWK,,38.0582,-97.2745,,
FLV,KFLV,,39.3683,-94.9147,,
FOE,KFOE,,38.9509,-95.6636,,
FRI,KFRI,,39.0553,-96.7645,,
FSK,KFSK,,37.7984,-94.7694,,
GBD,KGBD,,38.3443,-98.8592,,
GCK,KGCK,,37.9275,-100.724,,
GLD,KGLD,,39.3706,-101.699,,
HLC,KHLC,,39.3788,-99.8315,,
HUT,KHUT,,38.0655,-97.8606,,
HYS,KHYS,,38.8422,-99.2732,,
IAB,KIAB,,37.6219,-97.2682,,
ICT,KICT,,37.6499,-97.4331,,
IDP,KIDP,,37.1584,-95.7784,,
JCI,KIXD,,38.8309,-94.8903,,
LBL,KLBL,,37.0442,-100.96,,
LWC,KLWC,,39.0112,-95.2166,,
LYO,KLYO,,38.3428,-98.2269,,
MHK,KMHK,,39.141,-96.6708,,
MPR,KMPR,,38.3524,-97.6913,,
OJC,KOJC,,38.8476,-94.7376,,
PPF,KPPF,,37.3299,-95.5062,,
PTS,KPTS,,37.4478,-94.7311,,
PTT,KPTT,,37.7016,-98.7469,,
RSL,KRSL,,38.8721,-98.8118,,
SLN,KSLN,,38.791,-97.6522,,
TOP,KTOP,,39.0687,-95.6225,,
WLD,KWLD,,37.1686,-97.0376,,
BRY,KBRY,,37.8143,-85.4996,,
BWG,KBWG,,36.9645,-86.4197,,
CEY,KCEY,,36.6646,-88.3728,,
CVG,KCVG,,39.0488,-84.6678,,
EKX,KEKX,,37.686,-85.925,,
FFT,KFFT,,38.1825,-84.9047,,
FTK,KFTK,,37.9071,-85.9721,,
GLW,KGLW,,37.0318,-85.9537,,
HOP,KHOP,,36.6686,-87.4962,,
LEX,KLEX,,38.0365,-84.6059,,
LOU,KLOU,,38.228,-85.6637,,
LOZ,KLOZ,,37.0822,-84.0849,,
OWB,KOWB,,37.7401,-87.1668,,
PAH,KPAH,,37.0608,-88.7738,,
PVL,KPBX,,37.5618,-82.5664,,
SDF,KSDF,,38.1744,-85.736,,
SME,KSME,,37.0534,-84.6159,,
AEX,KAEX,,31.3274,-92.5498,,
ARA,KARA,,30.0378,-91.8839,,
BAD,KBAD,,32.5018,-93.6627,,
BCS,,,29.8661,-90.0222,,
BTR,KBTR,,30.5332,-91.1496,,
BXA,KBXA,,30.8137,-89.865,,
CWF,KCWF,,30.2106,-93.1432,,
DRI,KDRI,,30.8317,-93.3399,,
DTN,KDTN,,32.5402,-93.745,,
ESF,KESF,,31.3949,-92.2958,,
HUM,KHUM,,29.5665,-90.6604,,
LCH,KLCH,,30.1261,-93.2233,,
LFT,KLFT,,30.2053,-91.9876,,
MLU,KMLU,,32.5109,-92.0377,,
MSY,KMSY,,29.9934,-90.258,,
NBG,KNBG,,29.8253,-90.035,,
NEW,KNEW,,30.0424,-90.0283,,
OPL,KOPL,,30.5584,-92.0994,,
POE,KPOE,,31.0448,-93.1917,,
PTN,KPTN,,29.7095,-91.339,,
RSN,KRSN,,32.5144,-92.5917,,
SHV,KSHV,,32.4466,-93.8256,,
UCE,,,30.4663,-92.4238,,
AUG,KAUG,,44.3206,-69.7973,,
BGR,KBGR,,44.8074,-68.8281,,
BHB,KBHB,,44.45,-68.3615,,
CAR,KCAR,,46.8715,-68.0179,,
FRY,KIZG,,43.9911,-70.9479,,
HUL,KHUL,,46.1231,-67.7921,,
ISS,KIWI,,43.9614,-69.7126,,
LEW,KLEW,,44.0485,-70.2835,,
LIZ,,,46.9504,-67.8859,,
MLT,KMLT,,45.6478,-68.6856,,
NHZ,KBXM,,43.8922,-69.9386,,
OLD,KOLD,,44.9528,-68.6743,,
OWK,KOWK,,44.7155,-69.8665,,
PNN,KPNN,,45.2007,-67.5644,,
PQI,KPQI,,46.689,-68.0448,,
PWM,KPWM,,43.6462,-70.3093,,
RKD,KRKD,,44.0601,-69.0992,,
SFM,KSFM,,43.3939,-70.708,,
WFK,KFVE,,47.2855,-68.3128,,
WVL,KWVL,,44.5332,-69.6755,,
ADW,KADW,,38.8108,-76.867,,
ANP,KANP,,38.9429,-76.5684,,
APG,KAPG,,39.4662,-76.1688,,
BWI,KBWI,,39.1753,-76.6683,,
CBE,KCBE,,39.6154,-78.7609,,
CGE,KCGE,,38.5393,-76.0304,,
CGS,KCGS,,38.9806,-76.9223,,
ESN,KESN,,38.8042,-76.069,,
FDK,KFDK,,39.4176,-77.3743,,
FME,KFME,,39.0854,-76.7594,,
GAI,KGAI,,39.1683,-77.166,,
HGR,KHGR,,39.7079,-77.7295,,
LTW,,,38.3154,-76.5501,,
MTN,KMTN,,39.3257,-76.4138,,
NHK,KNHK,,38.286,-76.4118,,
OCE,KOXB,,38.3104,-75.124,,
SBY,KSBY,,38.3405,-75.5103,,
ACK,KACK,,41.2531,-70.0602,,
ARE,TJAB,,18.45,-66.6753,,
BAF,KBAF,,42.1578,-72.7156,,
BED,KBED,,42.47,-71.289,,
BOS,KBOS,,42.3643,-71.0052,,
BQN,TJBQ,,18.4949,-67.1294,,
BVY,KBVY,,42.5842,-70.9165,,
CPX,TJCP,,18.3133,-65.3043,,
EWB,KEWB,,41.6761,-70.9569,,
FAJ,TJFA,,18.3089,-65.6619,,
FMH,KFMH,,41.6584,-70.5214,,
GBR,KGBR,,42.1842,-73.4032,,
GDM,KGDM,,42.55,-72.0161,,
HUC,,,18.1381,-65.8013,,
HYA,KHYA,,41.6693,-70.2804,,
LWM,KLWM,,42.7172,-71.1234,,
MAZ,TJMZ,,18.2557,-67.1485,,
MMN,,,42.4618,-71.5184,,
MVY,KMVY,,41.3931,-70.6143,,
MXG,,,42.3432,-71.509,,
NRR,TJRV,,18.2453,-65.6434,,
ORH,KORH,,42.2673,-71.8757,,
OWD,KOWD,,42.1905,-71.1729,,
PMX,,,42.2233,-72.3114,,
PSF,KPSF,,42.4268,-73.2929,,
PVC,KPVC,,42.0719,-70.2214,,
PYM,KPYM,,41.909,-70.7288,,
UWA,,,42.282,-72.2148,,
VQS,TJVQ,,18.1348,-65.4936,,
ACB,KACB,,44.9886,-85.1984,,
ADG,KADG,,41.8677,-84.0773,,
AMN,KAMN,,43.3221,-84.688,,
APN,KAPN,,45.0781,-83.5603,,
ARB,KARB,,42.223,-83.7456,,
AZO,KAZO,,42.2349,-85.5521,,
BEH,KBEH,,42.1286,-86.4285,,
BTL,KBTL,,42.3073,-85.2515,,
CAD,KCAD,,44.2753,-85.4189,,
CIU,KCIU,,46.2508,-84.4724,,
CMX,KCMX,,47.1684,-88.4891,,
DRE,KDRM,,46.0093,-83.7439,,
DTW,KDTW,,42.2125,-83.3533,,
ECA,,,44.3128,-83.4223,,
ESC,KESC,,45.7227,-87.0937,,
FNT,KFNT,,42.9654,-83.7436,,
GDW,KGDW,,43.9706,-84.475,,
GLR,KGLR,,45.0135,-84.7036,,
GRR,KGRR,,42.8808,-85.5228,,
HAI,KHAI,,41.9598,-85.5934,,
HLM,KHLM,,42.7959,-86.162,,
HTL,KHTL,,44.3598,-84.6711,,
IMT,KIMT,,45.8184,-88.1145,,
IRS,KIRS,,41.8133,-85.439,,
ISQ,KISQ,,45.9746,-86.1718,,
IWD,KIWD,,46.5275,-90.1314,,
JXN,KJXN,,42.2598,-84.4594,,
LAN,KLAN,,42.7787,-84.5874,,
LDM,KLDM,,43.9625,-86.4079,,
MBL,KMBL,,44.2724,-86.2469,,
MBS,KMBS,,43.5329,-84.0796,,
MCD,KMCD,,45.8649,-84.6373,,
MKG,KMKG,,43.1695,-86.2382,,
MNM,KMNM,,45.1267,-87.6384,,
MOP,KMOP,,43.6217,-84.7375,,
MQT,KSAW,,46.3536,-87.3954,,
MTC,KMTC,,42.6135,-82.8369,,
NLE,,,41.8359,-86.2252,,
OSC,KOSC,,44.4516,-83.3941,,
PHN,KPHN,,42.911,-82.5289,,
PLN,KPLN,,45.5709,-84.7967,,
PTK,KPTK,,42.6655,-83.4201,,
RCT,KRCT,,43.9,-85.5167,,
TVC,KTVC,,44.7414,-85.5822,,
TZC,KCFS,,43.4588,-83.4455,,
WBK,,,44.2448,-84.1798,,
WBR,KRQB,,43.7226,-85.5041,,
AEL,KAEL,,43.6815,-93.3672,,
AUM,KAUM,,43.665,-92.9334,,
AXN,KAXN,,45.8663,-95.3947,,
BBB,KBBB,,45.3319,-95.6506,,
BDE,KBDE,,48.7284,-94.6122,,
BJI,KBJI,,47.5094,-94.9337,,
BRD,KBRD,,46.3983,-94.1381,,
CKN,KCKN,,47.8417,-96.6216,,
DLH,KDLH,,46.8421,-92.1936,,
DTL,KDTL,,46.8252,-95.8857,,
EVM,KEVM,,47.4251,-92.4985,,
FBL,KFBL,,44.3284,-93.3125,,
FCM,KFCM,,44.8272,-93.4571,,
FFM,KFFM,,46.2844,-96.1567,,
FRM,KFRM,,43.6439,-94.4156,,
GPZ,KGPZ,,47.2111,-93.5098,,
GRM,KCKC,,47.8383,-90.3829,,
HIB,KHIB,,47.3866,-92.839,,
ILL,KBDH,,45.1177,-95.1304,,
INL,KINL,,48.5662,-93.4031,,
LYU,KELO,,47.8245,-91.8307,,
MIC,KMIC,,45.062,-93.3539,,
MJQ,KMJQ,,43.65,-94.9867,,
MKT,KMKT,,44.2216,-93.9187,,
MML,KMML,,44.4505,-95.8219,,
MOX,KMOX,,45.5704,-95.9684,,
MSP,KMSP,,44.882,-93.2218,,
MVE,KMVE,,44.9691,-95.7103,,
MWM,KMWM,,43.9134,-95.1094,,
NSL,KDVP,,43.9868,-95.7826,,
ONA,KONA,,44.0772,-91.7083,,
OTG,KOTG,,43.6559,-95.584,,
OWA,KOWA,,44.1234,-93.2606,,
PKD,KPKD,,46.9006,-95.0731,,
ROX,KROX,,48.856,-95.697,,
RRT,KRRT,,48.9414,-95.3484,,
RST,KRST,,43.9083,-92.5,,
RWF,KRWF,,44.5472,-95.0823,,
STC,KSTC,,45.5466,-94.0599,,
STP,KSTP,,44.9345,-93.06,,
SYN,KSYN,,44.4755,-93.0163,,
TVF,KTVF,,48.0657,-96.185,,
ULM,KULM,,44.3196,-94.5023,,
BIX,KBIX,,30.4104,-88.9244,,
CBM,KCBM,,33.6438,-88.4438,,
CKM,KCKM,,34.2997,-90.5123,,
CRX,KCRX,,34.915,-88.6035,,
DXE,KMBO,,32.4387,-90.1031,,
GLH,KGLH,,33.4829,-90.9856,,
GPT,KGPT,,30.4073,-89.0701,,
GTR,KGTR,,33.4503,-88.5914,,
GWO,KGWO,,33.4943,-90.0847,,
HBG,KHBG,,31.2648,-89.2528,,
HEZ,KHEZ,,31.6137,-91.2973,,
HKS,KHKS,,32.3345,-90.2222,,
JAN,KJAN,,32.3112,-90.0759,,
LMS,KLMS,,33.1462,-89.0625,,
LUL,KLUL,,31.6726,-89.1722,,
MCB,KMCB,,31.1785,-90.4719,,
MEI,KMEI,,32.3326,-88.7519,,
MMS,KMMS,,34.2315,-90.2896,,
OLV,KOLV,,34.9787,-89.7869,,
OSX,KOSX,,33.09,-89.5409,,
PCU,,,30.786,-89.5045,,
PGL,KPQL,,30.4628,-88.5292,,
PIB,KPIB,,31.4671,-89.3371,,
RFK,,,32.9549,-90.8459,,
TUP,KTUP,,34.2681,-88.7699,,
UBS,KUBS,,33.4654,-88.3803,,
UOX,KUOX,,34.3843,-89.5368,,
UTM,KUTA,,34.681,-90.3467,,
VKS,KVKS,,32.2393,-90.9284,,
AIZ,KAIZ,,38.096,-92.5495,,
BKG,KBBG,,36.5321,-93.2005,,
BUM,KBUM,,38.2898,-94.3401,,
CGI,KCGI,,37.2253,-89.5708,,
COU,KCOU,,38.8181,-92.2196,,
DMO,KDMO,,38.7074,-93.1759,,
EOS,KEOS,,36.8065,-94.391,,
FAM,KFAM,,37.7611,-90.4286,,
IRK,KIRK,,40.0935,-92.5449,,
JEF,KJEF,,38.5912,-92.1561,,
JLN,KJLN,,37.1518,-94.4983,,
KNK,PFKK,,59.4332,-154.804,,
KNT,KTKX,,36.2259,-90.0366,,
MAW,KMAW,,36.6006,-89.9922,,
MBY,KMBY,,39.4639,-92.427,,
MCI,KMCI,,39.2976,-94.7139,,
MHL,KMHL,,39.0958,-93.2029,,
MKC,KMKC,,39.1232,-94.5928,,
NVD,KNVD,,37.853,-94.3045,,
OSB,,,38.1142,-92.6826,,
PLK,KPLK,,36.6259,-93.2289,,
POF,KPOF,,36.7739,-90.3249,,
SGF,KSGF,,37.2457,-93.3886,,
SIK,KSIK,,36.8989,-89.5618,,
STJ,KSTJ,,39.7719,-94.9097,,
STL,KSTL,,38.7487,-90.37,,
SUS,KSUS,,38.6621,-90.652,,
SZL,KSZL,,38.7303,-93.5479,,
TBN,KTBN,,37.7416,-92.1407,,
TRX,KTRX,,40.0836,-93.5908,,
VIH,KVIH,,38.1274,-91.7695,,
VRS,,,38.4278,-92.8752,,
BDX,,,45.4725,-105.454,,
BIL,KBIL,,45.8077,-108.543,,
BTM,KBTM,,45.9548,-112.497,,
BZN,KBZN,,45.7775,-111.153,,
CTB,KCTB,,48.6084,-112.376,,
DLN,KDLN,,45.2554,-112.553,,
DRU,,,46.6208,-113.205,,
FCA,KGPI,,48.3105,-114.256,,
GDV,KGDV,,47.1387,-104.807,,
GGW,KGGW,,48.2125,-106.615,,
GTF,KGTF,,47.482,-111.371,,
HLN,KHLN,,46.6068,-111.983,,
HVR,KHVR,,48.543,-109.762,,
JDN,KJDN,,47.3288,-106.953,,
LVM,KLVM,,45.6994,-110.448,,
LWT,KLWT,,47.0493,-109.467,,
MLK,,,48.3669,-107.919,,
MLS,KMLS,,46.428,-105.886,,
MSO,KMSO,,46.9163,-114.091,,
OLF,KOLF,,48.0945,-105.575,,
PWD,KPWD,,48.7903,-104.534,,
RPX,KRPX,,46.4751,-108.541,,
SBX,KSBX,,48.5407,-111.871,,
SDY,KSDY,,47.7069,-104.193,,
THM,KTHM,,47.5735,-115.281,,
WYS,KWYS,,44.6884,-111.118,,
AHF,,,40.3395,-99.9065,,
AIA,KAIA,,42.0532,-102.804,,
ANW,KANW,,42.5792,-99.993,,
BBW,KBBW,,41.4365,-99.6422,,
BFF,KBFF,,41.874,-103.596,,
BIE,KBIE,,40.3013,-96.7541,,
BUB,KBUB,,41.7767,-99.1497,,
CDR,KCDR,,42.8376,-103.095,,
EAR,KEAR,,40.727,-99.0068,,
EPG,,,40.8675,-96.11,,
FBY,KFBY,,40.183,-97.1693,,
FET,KFET,,41.4491,-96.5202,,
GRI,KGRI,,40.9675,-98.3096,,
GRN,KGRN,,42.806,-102.175,,
HDE,KHDE,,40.4521,-99.3365,,
HSI,KHSI,,40.6053,-98.4279,,
IML,KIML,,40.5093,-101.621,,
LBF,KLBF,,41.1262,-100.684,,
LNK,KLNK,,40.851,-96.7592,,
LXN,KLXN,,40.791,-99.7773,,
MCK,KMCK,,40.2063,-100.592,,
MHN,KMHN,,42.0422,-101.059,,
MIQ,KMLE,,41.195,-96.1148,,
OFF,KOFF,,41.1183,-95.9125,,
OFK,KOFK,,41.9855,-97.4351,,
OGA,KOGA,,41.1195,-101.77,,
OKS,KOKS,,41.401,-102.355,,
OLU,KOLU,,41.448,-97.3426,,
ONL,KONL,,42.4699,-98.6881,,
SCB,KSCB,,41.6103,-96.6299,,
SNY,KSNY,,41.1013,-102.985,,
VTN,KVTN,,42.8578,-100.548,,
ASQ,,,39.468,-117.195,,
BAM,KBAM,,40.599,-116.874,,
BLD,,,35.9475,-114.861,,
BTY,KBTY,,36.8611,-116.787,,
CSN,KCXP,,39.1922,-119.734,,
DRA,KDRA,,36.6194,-116.033,,
EKO,KEKO,,40.8249,-115.792,,
ELY,KELY,,39.2997,-114.842,,
EUE,,,39.6042,-116.005,,
EYR,,,39.0041,-119.158,,
FLX,KFLX,,39.4991,-118.749,,
GAB,KGAB,,38.9241,-117.959,,
HSH,KHND,,35.9728,-115.134,,
HTH,KHTH,,38.5444,-118.634,,
INS,KINS,,36.5872,-115.673,,
KPT,,,41.976,-114.658,,
LAS,KLAS,,36.0801,-115.152,,
LOL,KLOL,,40.0664,-118.565,,
LSV,KLSV,,36.2362,-115.034,,
LWL,KLWL,,41.1171,-114.922,,
MEV,KMEV,,39.0003,-119.751,,
MFH,,,36.835,-114.055,,
