Count,Attributes
42,"('NAV', 'DME')"
42,"('RWY', '29')"
42,"('ROUTE', 'ZDV')"
42,"('ST', 'LOUIS,')"
42,"('OAK', 'RWY')"
41,"('VISIBILITY', 'REDUCTION')"
41,"('REQUIRED', 'EXCEPT')"
41,"('TWY', 'L')"
41,"('DOES', 'NOT')"
41,"('TWY', 'F')"
41,"('1', '1/4')"
41,"('NANTUCKET,', 'MASSACHUSETTS..TEMPORARY')"
41,"('A)', 'KBOS')"
41,"('KBOS', 'B)')"
41,"('E)', 'BOS')"
40,"('OPS', 'WI')"
40,"('BHM', 'RWY')"
40,"('RAI', 'LGT')"
40,"('A', 'AND')"
40,"('LGT', 'BTN')"
40,"('LAW', 'ENFORCEMENT,')"
40,"('NOT', 'COMPLY')"
40,"('MAY', 'TAKE')"
40,"('THEN', 'CLIMBING')"
40,"('AMA,', 'CAO,')"
40,"('RWY', '17,')"
40,"('TWY', 'A1')"
40,"('2', 'FT')"
40,"('MSL.', 'END')"
40,"('ROUTE', 'ZLC')"
40,"('VORTAC,', 'MD')"
39,"('TAKEOFF', 'MINIMUMS:')"
39,"('AS', '35NM')"
39,"('35NM', 'RADIUS')"
39,"('CATS', 'C/D')"
39,"('RWY', 'STATUS')"
39,"('STATUS', 'LGT')"
39,"('LGT', 'SYSTEM')"
39,"('REDUCTION', 'BELOW')"
39,"('CHANGE', 'NOTE')"
39,"('ALL', 'U/S')"
39,"('TSA', 'AT')"
39,"('MSL.', 'TRAVERSE')"
39,"('3', 'FT')"
39,"('EXC', 'TAX')"
39,"('ZKC', 'AIRSPACE')"
39,"('THE', 'LMA')"
39,"('RNAV', '(GNSS)')"
39,"('AMSL.', 'LGTD,')"
38,"('WITH', 'ALL')"
38,"('STATES', 'GOVERNMENT')"
38,"('USC', 'SECTION')"
38,"('LPV', 'DA')"
38,"('CAT', 'A')"
38,"('FT/NM', 'TO')"
38,"('VORTAC,', 'UT')"
38,"('FUEL', '100LL')"
38,"('BZN', 'TWY')"
37,"('ATLANTA,', 'GA.')"
37,"('VORTAC', 'OUT')"
37,"('PART', '4')"
37,"('4', 'OF')"
37,"('RAMP', 'SPOT')"
37,"('AP', 'RVR')"
37,"('RVR', 'ALL')"
37,"('HLDG', 'PSN')"
37,"('UNMANNED', 'AIRCRAFT')"
37,"('ZID', 'AIRSPACE')"
37,"('AT', 'CANCELED')"
37,"('OPERATING', 'REQUIREMENTS')"
36,"('ACFT', 'OPS')"
36,"('AMDT', '1C...')"
36,"('THE', 'AIRSPACE')"
36,"('DEFINED', 'IN')"
36,"('UNDER', '49')"
36,"('SECURITY', 'INSTRUCTIONS')"
36,"('THE', 'TFR')"
36,"('OBST', 'POWER')"
36,"('POWER', 'LINE')"
36,"('TWO-WAY', 'RADIO')"
36,"('CAO,', 'BGD,')"
36,"('BGD,', 'DHT,')"
36,"('HRX,', 'TCC,')"
36,"('TCC,', 'TDW.')"
36,"('REMOTE', 'COM')"
36,"('COM', 'OUTLET')"
36,"('ALL', 'AIRCRAFT')"
36,"('CAN', 'BE')"
36,"('AZ', 'MEA')"
36,"('AND', 'APCH')"
36,"('AT', 'OR')"
36,"('RWY', '15')"
36,"('DRY', 'SN')"
36,"('THE', 'PROCEDURES')"
36,"('OF', '9')"
36,"('AN', 'AIRCRAFT')"
36,"('PA', 'NA')"
36,"('9', 'FT')"
36,"('100LL', 'NOT')"
36,"('ZAU', 'AIRSPACE')"
36,"('ALT', 'TO')"
35,"('ANY', 'PERSON')"
35,"('SOUTH', 'OF')"
35,"('COM', 'REMOTE')"
35,"('NOT', 'AUTHORIZED.')"
35,"('COP', 'NA')"
35,"('NY', 'MEA')"
35,"('AMSL.', 'NOT')"
35,"('LAST', 'ALT')"
35,"('PATCHY', 'ICE')"
34,"('(RNP)', 'Z')"
34,"('EXCEPT', 'WHEN')"
34,"('RWY', '18R')"
34,"('DEFENSE', ""AIRSPACE'."")"
34,"('DETAINED', 'AND')"
34,"('AND', 'INTERVIEWED')"
34,"('INTERVIEWED', 'BY')"
34,"('LINE', 'LGT')"
34,"('(259.8FT', 'AGL)')"
34,"('AS', '112NM')"
34,"('112NM', 'RADIUS')"
34,"('OPERATIONS', 'ARE')"
34,"('CATS.', 'VISIBILITY')"
34,"('RWY', '03')"
34,"('WASHINGTON', 'DC')"
34,"('NOT', 'LGTD,')"
33,"('C', 'BTN')"
33,"('BE', 'INTERCEPTED,')"
33,"('(150FT', 'AGL)')"
33,"('VIS', 'ALL')"
33,"('IS', 'RNAV')"
33,"('ARE', 'PROHIBITED')"
33,"('PAD', 'FOR')"
33,"('D', 'BTN')"
33,"('RWY', '19')"
33,"('RWY', '12,')"
33,"('READ:', 'CLIMB')"
32,"('RAMP', 'WIP')"
32,"('NW', 'OF')"
32,"('RWY', '25')"
32,"('CIRCLING', 'RWY')"
32,"('HIGH', 'STNR')"
32,"('CAT', 'B')"
32,"('WILL', 'BE')"
32,"('OPS', 'IN')"
32,"('PILOTS', 'WHO')"
32,"('RESTRICTIONS', 'ARE')"
32,"('TO', '375400N1134200W')"
32,"('375400N1134200W', 'TO')"
32,"('TO', '380100N1141200W')"
32,"('380100N1141200W', 'TO')"
32,"('TO', '381400N1150000W')"
32,"('381400N1150000W', 'TO')"
32,"('LOW', 'STNR')"
32,"('NAV', 'VORTAC')"
32,"('NA', 'WHEN')"
32,"('VASI', 'U/S')"
32,"('TO', 'TUBA')"
32,"('TUBA', 'CITY')"
32,"('CITY', '(TBC)')"
32,"('(TBC)', 'VORTAC,')"
32,"('CO', 'MEA')"
32,"('VISIBILITY', 'ALL')"
32,"('EKN,', 'MGW,')"
32,"('EMI', 'VORTAC')"
32,"('POINT', 'IS')"
32,"('THE', 'PILOT')"
32,"('ELN', 'APRON')"
32,"('DIST/ALT', 'TABLE:')"
32,"('TABLE:', 'LAST')"
31,"('ONE', 'DEPARTURE')"
31,"('CL', 'LGT')"
31,"('ALS,', 'INCREASE')"
31,"('APRON', 'TXL')"
31,"('TACAN', 'AZM')"
31,"('AZM', 'U/S')"
31,"('THE', 'RQMNTS')"
31,"('18', 'PAPI')"
31,"('AMDT', '1B...')"
31,"('RWY', '08')"
31,"('LOCAL', 'ALTIMETER')"
31,"('MSL.', 'TREE,')"
31,"('OPERATING', 'IN')"
31,"('RWY', '18,')"
31,"('COND', 'NOT')"
31,"('RWY', '28L')"
31,"('SECTIONS', '93.335,')"
31,"('93.335,', '93.337,')"
31,"('INCLUDING', 'THE')"
31,"('FLIGHT', 'PLAN')"
31,"('12', 'FICON')"
31,"('TO', '1300')"
31,"('ALB', 'RWY')"
31,"('MINNEAPOLIS,', 'MN.')"
31,"('ICE', 'AND')"
31,"('MSP', 'RWY')"
30,"('INTST', 'U/S')"
30,"('SEQUENCED', 'FLG')"
30,"('FLG', 'LGT')"
30,"('SURVEILLANCE', 'CANCELED')"
30,"('AIRSPACE', 'SFC-5000FT')"
30,"('OF', 'COMPLIANCE.HEL')"
30,"('COMPLIANCE.HEL', 'OPS')"
30,"('AIRWORTHINESS', 'DIRECTIVE2023-10-02,')"
30,"('DIRECTIVE2023-10-02,', '2023-11-07')"
30,"('AND', 'DOMESTIC')"
30,"('TWY', 'A2')"
30,"('WI', 'THE')"
30,"('PROCEDURE', 'NA.')"
30,"('TWY', 'M')"
30,"('RWY', '36L')"
30,"('NOT', 'RECEIVED,')"
30,"('BE', 'FOUND')"
30,"('RWY', '23')"
30,"('3NM', 'RADIUS')"
30,"('WET', 'SN')"
30,"('(TIS-B),', 'AIRSPACE')"
30,"('30NM', 'RADIUS')"
30,"('RWY', '05/23')"
30,"('STL', 'RWY')"
30,"('ZLC', 'ZDV.')"
30,"('E', 'AND')"
30,"('RWY', '10L')"
30,"('VOR/DME,', 'CO')"
30,"('STANDARD', 'SECURITY')"
30,"('ASPH', 'LGTD')"
30,"('OF', '10')"
30,"('MISSED', 'APCH')"
30,"('(GNSS)', 'Z')"
29,"('RNP', '0.30')"
29,"('FOR', 'INOPERATIVE')"
29,"('CATS', 'A/B')"
29,"('USC', '40103(B)(3),')"
29,"('40103(B)(3),', 'THE')"
29,"('ACFT', 'OPR')"
29,"('AP', 'CLSD')"
29,"('DLY', 'SR-SS')"
29,"('TACAN', 'U/S')"
29,"('CA.', 'RNAV')"
29,"('MINIMUM', 'ALTITUDE')"
29,"('SAFETY', 'AREA')"
29,"('LEFT', 'TURN')"
29,"('MSL.', 'TERRAIN')"
29,"('LOUIS,', 'MO.')"
29,"('RWY', '32R')"
29,"('AWARE', 'OF')"
29,"('JYO', 'TOWER')"
29,"('BZN', 'APRON')"
29,"('GEG', 'TWY')"
28,"('DECLARED', 'DIST:')"
28,"('ZLA', 'CA..ROUTE')"
28,"('TX.', 'RNAV')"
28,"('RWY', '17R')"
28,"('RWY', '12R/30L')"
28,"('NM..ROUTE', 'ZAB.')"
28,"('RWY', '17/35')"
28,"('THE', 'FEDERAL')"
28,"('AVIATION', 'ADMINISTRATION')"
28,"('ADMINISTRATION', '(FAA)')"
28,"('(FAA)', 'CLASSIFIES')"
28,"('CLASSIFIES', 'THE')"
28,"('AIRSPACE', 'DEFINED')"
28,"('NOTAM', 'AS')"
28,"('INTERCEPTED,', 'DETAINED')"
28,"('BY', 'LAW')"
28,"('LAW', 'ENFORCEMENT/SECURITY')"
28,"('ENFORCEMENT/SECURITY', 'PERSONNEL.')"
28,"('FLT', 'OPS')"
28,"('OPS', 'ARE')"
28,"('UAS', 'OPR')"
28,"('THAT', 'ALL')"
28,"('ATL', 'NAV')"
28,"('NAV', 'VOR/DME')"
28,"('DALLAS-FORT', 'WORTH')"
28,"('WORTH', 'INTL,')"
28,"('INTL,', 'DALLAS-FORT')"
28,"('DALLAS-FORT', 'WORTH,')"
28,"('LGTD', 'AND')"
28,"('AND', 'BARRICADED')"
28,"('INCLUDE', 'E52,')"
28,"('RECEIVED,', 'USE')"
28,"('AS', '15NM')"
28,"('15NM', 'RADIUS')"
28,"('RWY', '30L')"
28,"('TO', 'ALAMOSA')"
28,"('ALAMOSA', '(ALS)')"
28,"('(ALS)', 'VORTAC,')"
28,"('VORTAC,', 'CO')"
28,"('RWY', '28R')"
